Nom de la variable;Type;Libellé du codage;Libellé de la variable
assis_j;Numérique;;Durée passée assis/jour (en mn)
atrav;Numérique;onref;Interviewé - A déjà exercé une profession
autcant_cod;Numérique;autcant;Autre raison pour ne pas aller à la cantine - codé
autdist_cod;Numérique;autdist;Autre aliment acheté dans les distributeurs - codé
autinfo_cod;Numérique;autinfo;Si Sources autres - codé
autintali_cod;Numérique;autintal;Quel autre intérêt? - codé
autlieudej;Texte;;Autre lieu pour votre repas de midi
autreg_cod;Numérique;autreg;Autre raison pour suivre régime - codé
autregmedic_cod;Numérique;autregme;Quelle raison médicale (autre que poids)? - codé
bmi;Numérique;;Indice de masse corporelle
boeufcru;Numérique;consocru;Consomme de la viande de boeuf crue (tartare,
carpaccio...) boeufcuis;Numérique;cuiviand;Degré de cuisson boeuf (steak, entrecôte, côte)
bonalim;Numérique;onsp;Pense avoir une bonne alimentation pour sa santé
cantaill;Numérique;onsp;Ses parents lui ont proposé mais n'a pas voulu car préfère manger ailleurs
cantaut;Numérique;onsp;Autre raison
cantcher;Numérique;onsp;Les repas y sont trop chers
cantdom;Numérique;onsp;Une personne du foyer est présente à la maison pour lui préparer les repas
cantnequil;Numérique;onsp;Pense que les repas n y sont pas équilibrés
cantnm;Numérique;onsp;A essayé et n'aime pas
cantnprop;Numérique;onsp;Ses parents ne lui ont pas proposé
cantnsani;Numérique;onsp;Pense que les repas n'y sont pas de bonne qualité sanitaire
cantnsp;Numérique;onsp;Vous ne savez pas
cantnveut;Numérique;onsp;Il ne veut pas y déjeuner
cantproch;Numérique;onsp;L'école est proche du domicile
cantsant;Numérique;onsp;A des problèmes de santé nécessitant une alimentation particulière
chef;Numérique;onsp;Personne interrogée est le chef de famille (oui/non)
chevcru;Numérique;consocru;Consomme de la viande de cheval crue (tartare)
chevcuis;Numérique;cuiviand;Degré de cuisson cheval (steak, rôti)
cible;Numérique;cible;Groupe d'âge de la personne sélectionnée
clage;Numérique;classe d'âge;
clas11_14;Numérique;c11lassb;Classe de l'enfant - ENF11-14
clas15_17;Numérique;c15lassb;Classe de l'enfant - ENF15-17
clas3_10;Numérique;c3lassb;Classe de l'enfant - ENF3-10
colmata;Numérique;colmata;Fréquence de conso. moyenne entre PDJ et DEJ
colmatecol;Numérique;colmatb;En moyenne, avec quelle fréquence mange entre le PDJ et le DEJ
contalim;Numérique;onsp;Contrôle son poids en modifiant son alimentation
contap;Numérique;onsp;Contrôle son poids en augmentant son activité physique
contmed;Numérique;onsp;Contrôle son poids avec des médicaments, des compl. alim.
contsubt;Numérique;onsp;Contrôle son poids en prenant des substituts de repas
cotagncuis;Numérique;cuiviand;Degré de cuisson côtes d'agneau
creche;Numérique;pasecole;Si pas à l'école, enfant va-t-il ? - ENF3-10
cspi;Numérique;pcs;PCS INTERVIEWE
cyclepds;Numérique;cycle;A déjà perdu puis repris au moins 10 kg depuis âge de 20 ans (sauf grossesse)
dip;Numérique;diplome;Interviewé - diplôme d enseignement général ou technique le plus élevé
distaut;Numérique;onsp;Autre achat au distributeur
distbar;Numérique;onsp;Achat au distributeur de barres chocolatées
distbiss;Numérique;onsp;Achat au distributeur de biscuits salés
distconf;Numérique;onsp;Achat au distributeur de confiseries
disteaum;Numérique;onsp;Achat au distributeur d'eaux minérales
distfruit;Numérique;onsp;Achat au distributeur de fruits frais
distgat;Numérique;onsp;Achat au distributeur de biscuits sucrés
distjus;Numérique;onsp;Achat au distributeur de jus de fruits
distrib;Numérique;distrib;Achat d'aliments ou boissons fraiches dans distributeurs auto.
distsoda;Numérique;onsp;Achat au distributeur de sodas
distsoli;Numérique;onsp;Achat au distributeur de sodas light
dlcpl;Numérique;dlc;Généralement, consomme les plats cuisinés au plus tard ...
ech;Numérique;echant;Echantillon (adultes/enfants)
enceinte;Numérique;onsp;Est actuellement enceinte ?
enceinte12;Numérique;onsp;A été enceinte au cours des 12 derniers mois ?
enrich;Numérique;enrichis;Conso. préférentielle d'aliments enrichis (vitamines, minéraux, autres subst.)
entrerep;Numérique;entrerep;Fréquence de conso. moyenne entre les 3 repas principaux
essaipds;Numérique;essai;Depuis 1 an, a essayé de ...
etiqclnut;Numérique;etiquet;Lit les messages nutritionnels revendiqués par le produit
etiqclsant;Numérique;etiquet;Lit les messages décrivant effet sur la santé de l'aliment ou nutriment
etiqingr;Numérique;etiquet;Lit la liste des ingrédients ds produit
etiqnut;Numérique;etiquet;Lit le contenu nutritionnel du produit
etiqport;Numérique;etiquet;Lit les informations relatives aux portions
etiquetad;Numérique;tsrj;Lit les étiquettes des aliments achetés
etiquetenf;Numérique;tsrj;Lis les étiquettes des aliments
fastfood;Numérique;fastfood;Fréquence moyenne de repas dans fast-food
ffrepas;Numérique;raisonff;Raison de repas au fast-food
foiecuis;Numérique;cuiviand;Degré de cuisson foie (génisse, veau)
fqcantine;Numérique;cantine;Fréquence de conso. à la cantine le midi en période scolaire
fqcigta;Numérique;b39cig2f;Fréquence de conso. de cigarettes (en tranches, ancien fumeur)
fqcigtm;Numérique;b39cig2f;Fréquence de conso. de cigarettes (en tranches, fumeur actuel)
fqfec;Numérique;b11f;Fréquence de consommation de pain, céréales, PDT, lég. secs
fqfl;Numérique;b12f;Fréquence de consommation de fruits, légumes
fqpl;Numérique;b11f;Fréquence de consommation de lait, pdts laitiers
fqvpo;Numérique;b11f;Fréquence de consommation de viandes, volailles, poissons, oeufs
fume;Numérique;tabac;Fume, même de temps en temps ?
grasjambon;Numérique;onsp;Mange le gras du jambon
heur_trav;Numérique;best12;Interviewé - Nb heures travaillées la semaine dernière
infoami;Numérique;onsp;Obtient infos sur alim. par des amis
infoaut;Numérique;onsp;Obtient infos sur alim. par d'autres sources
infoembal;Numérique;onsp;Information alimentation sur les emballages des produits
infofami;Numérique;onsp;Obtient infos sur alim. par la famille
infointern;Numérique;onsp;Obtient infos sur alim. par internet
infolivre;Numérique;onsp;Obtient infos sur alim. par des livres
infomed;Numérique;onsp;Obtient infos sur alim. par des médecins
infopharm;Numérique;onsp;Obtient infos sur alim. par personnels de pharmacies, parapharmacies
infopress;Numérique;onsp;Obtient infos sur alim. par la presse
infoprof;Numérique;onsp;Obtient infos sur alim. par des professeurs (école, collège, lycée)
infopub;Numérique;onsp;Obtient infos sur alim. par la publicité
infotele;Numérique;onsp;Obtient infos sur alim. par des émissions de radio ou de télé
intaliaut;Numérique;onsp;Autre intérêt
intalicuisi;Numérique;onsp;Intérêt pour faire à manger soi-même
intalifabr;Numérique;onsp;Intérêt pour savoir comment on fabrique les aliments
intaliform;Numérique;onsp;Intérêt pour savoir ce qu'il faut manger pour être en forme
intalim;Numérique;intalim;S'intéresse à l'alimentation
intalinouv;Numérique;onsp;Intérêt pr goûter plats originaux, nouveaux ou exotiques
intaliplais;Numérique;onsp;Intérêt pour manger pour se faire plaisir
intaliregi;Numérique;onsp;Intérêt pour connaître les régimes pour maigrir ou ne pas prendre de poids
intense_hebdo;Numérique;;Durée d'activité physique INTENSE hebdo. (en mn)
intense_j;Numérique;;Durée d'activité physique INTENSE quotidienne (en mn)
intense_met;Numérique;;Intensité d'activité physique INTENSE (en MET)
intense_nbJ;Numérique;;Nombre de jours d'activité physique intense/semaine
ipaq;Numérique;ipaqf;Score de l'IPAQ (1=bas, 2=modéré, 3=élevé)
jour_demi;Numérique;;Nombre de demi-journée d'école/semaine - ENF3-14
jour_entier;Numérique;;Nombre de journées entières d'école/semaine - ENF3-14
jour_sans;Numérique;;Nombre de journées sans école/semaine - ENF3-14
lardcru;Numérique;consocru;Consomme des lardons fumés crus
lien_int_chef;Numérique;lienchfb;Lien de l'interviewé avec le chef du ménage
lien_ps_chef;Numérique;lienchef;Lien de la personne sélectionnée avec le chef de ménage
lien_rep_enf;Numérique;lienenfb;Lien du représentant avec l'enfant
lieudej;Numérique;lieudej;Lieu habituel des repas de midi en semaine
loc_log;Numérique;habitat;Localisation du logement
marche_hebdo;Numérique;;Durée de MARCHE hebdo. (en mn)
marche_j;Numérique;;Durée de MARCHE quotidienne (en mn)
marche_met;Numérique;;Intensité de l'activité MARCHE (en MET)
marche_nbJ;Numérique;;Nombre de jours de MARCHE/semaine
menopaus;Numérique;onsp;Est ménopausée ?
mfrom;Numérique;aime;Aime Le fromage
mfruit;Numérique;aime;Aime Les fruits
mglace;Numérique;aime;Aime Les glaces
mjus;Numérique;aime;Aime Les jus de fruits
mlait;Numérique;aime;Aime Le lait
mleg;Numérique;aime;Aime Les légumes
modere_hebdo;Numérique;;Durée d'activité physique MODEREE hebdo. (en mn)
modere_j;Numérique;;Durée d'activité physique MODEREE quotidienne (en mn)
modere_met;Numérique;;Intensité de l'activité physique MODEREE (en MET)
modere_nbJ;Numérique;;Nombre de jours d'activité physique MODEREE/semaine
moisgross;Numérique;;Nombre de mois de grossesse
moisgrossnsp;Numérique;;NSP nombre de mois de grossesse
mpois;Numérique;aime;Aime Le poisson
msoda;Numérique;aime;Aime Les sodas
mvian;Numérique;aime;Aime La viande
myao;Numérique;aime;Aime Les yaourts
nb_sal;Numérique;best12;Interviewé - Nb salariés employés si chef d'entreprise
nbcigransp;Numérique;;NSP combien fume de cigares (ancien fumeur)
nbcigrja;Numérique;;Nbr de cigares/jour (ancien fumeur)
nbcigrjm;Numérique;;Nbr de cigares/jour (fumeur actuel)
nbcigrmnsp;Numérique;;NSP combien fume de cigares (fumeur actuel)
nbcigrsa;Numérique;;Nbr de cigares/semaine (ancien fumeur)
nbcigrsm;Numérique;;Nbr de cigares/semaine (fumeur actuel)
nbcigta;Numérique;b39cig1f;Nombre de cigarettes par jour (ancien fumeur)
nbcigtm;Numérique;b39cig1f;Nombre de cigarettes par jour (fumeur actuel)
nbgeneral;Numérique;consult;Nbr de consultations d'un généraliste au cours des 12 dern. mois
nbjcc;Numérique;;Nombre de jours du carnet de consommation remplis
nbpipeansp;Numérique;;NSP combien fume de pipes (ancien fumeur)
nbpipeja;Numérique;;Nbr de pipes/jour (ancien fumeur)
nbpipejm;Numérique;;Nbr de pipes/jour (fumeur actuel)
nbpipemnsp;Numérique;;NSP combien fume de pipes (fumeur actuel)
nbpipesa;Numérique;;Nbr de pipes/semaine (ancien fumeur)
nbpipesm;Numérique;;Nbr de pipes/semaine (fumeur actuel)
nbspecial;Numérique;consult;Nbr de consultations d'un spécialiste au cours 12 dern. mois
nomen;Numérique;;Numéro d'individu
nracol;Numérique;onsp;[Pas de réponse]
nrcant;Numérique;onsp;Pas de réponse
nrcont;Numérique;onsp;Pas de réponse - Contrôle son poids
nrdist;Numérique;onsp;Achat au distributeur de pas de réponse
nrentr;Numérique;onsp;Pas de réponse
nrreg;Numérique;onsp;Pas de réponse
nup;Numérique;;Taux de sondage des UP dans chaque strate
oeufcru;Numérique;consocru;Consomme des oeufs crus (mayo. maison, mousse au choc. maison)
opipoids;Numérique;opipoids;Actuellement, considère être ...
ordi;Numérique;;Temps moyen quoditien devant ORDI (en mn)
pasreg;Numérique;onsp;Ne suit pas de régime
pays_nai;Numérique;paysb;Interviewé - pays de naissance
pdsmax;Numérique;;Poids maxi depuis age de 20 ans
pdsmaxnsp;Numérique;;NSP poids maxi depuis age de 20 ans
pdsmin;Numérique;;Poids mini depuis age de 20 ans
pdsminnsp;Numérique;;NSP poids mini depuis age de 20
peaupommes;Numérique;onsp;Mange la peau des pommes
peaupoulet;Numérique;onsp;Mange la peau du poulet
poids;Numérique;;Poids en kg utilisé pour bmr
poids12;Numérique;;Poids il y a 12 mois (en kg)
poids12nsp;Numérique;;Ne sait plus son poids d'il y a 12 mois
poidsd;Numérique;;Poids déclaré
poidsm;Numérique;;Poids mesuré
poiscru;Numérique;consocru;Consomme du poisson cru (sushi)
pond_adu_ech;Numérique;;POND finale Adulte ramenée à l'échantillon
pond_ech;Numérique;;POND finale Adultes/Enfants ramenée à l'échantillon
pond_enf_ech;Numérique;;POND finale Enfant ramenée à l'échantillon
porccru;Numérique;consocru;Consomme de la viande de porc crue
porccuis;Numérique;cuiviand;Degré de cuisson porc (escalope, côte, rôti)
q148;Numérique;habitude;Estime s'être dépensé… - ADULTES
q152;Numérique;ecolea;La semaine dernière, votre enfant ... ? - ENF3-10
q171;Numérique;onref;Regarde TV dans sa chambre - ENF3-10
q180;Numérique;;Nb jours avec école jeux en plein air - ENF3-10
q181;Numérique;;Nb jours peu ou sans école jeux en plein air - ENF3-10
q182;Numérique;;Nb jours avec sport hors école - ENF3-10
q183;Numérique;onsp;Participation compétition sport hors école - ENF3-10
q184;Numérique;;Nb de jours avec activité culturelle - ENF3-10
q185;Numérique;transp;Moyen de transport école/maison - ENF3-10
q186;Numérique;eps;Cours d'EPS 7 derniers jours - ENF3-10
q187;Numérique;recre;En cour de récréation votre enfant préfère ? - ENF3-10
q188;Numérique;onsp;Votre enfant est-il actif ? - ENF3-10
q189;Numérique;habitude;Estime que l'enfant s'est dépensé ... - ENF3-10
q191;Numérique;;Volet activité physique - ENF11-14
q192;Numérique;ecolea;La semaine dernière, tu es allé à l'école ... - ENF11-14
q203;Numérique;;Nb jours activité physique intense - ENF11-14
q204;Numérique;;Nb jours activité physique modérée - ENF11-14
q213;Numérique;onref;Regarde TV dans sa chambre - ENF11-14
q222;Numérique;;Nb de jours avec activité culturelle - ENF11-14
q223;Numérique;transp;Moyen de transport école/maison - ENF11-14
q224;Numérique;;Nb de jours avec cours d'EPS - ENF11-14
q225;Numérique;actifeps;Pendant cours d'EPS, nb de mn effectivement actif(ve) - ENF11-14
q226;Numérique;habitude;Estime s'être dépensé… - ENF11-14
q249;Numérique;onref;Regarde TV dans sa chambre - ENF15-17
q254;Numérique;habitude;Estime s'être dépensé… - ENF15-17
q255;Numérique;;Nb de jours avec activité culturelle - ENF15-17
reg;Numérique;regf;Région INCA2 (8 modalités)
regagglo;Texte;;concaténation des variables reg et agglo5
regaut;Numérique;onsp;Suit un régime pour une autre raison
regform;Numérique;onsp;Suit un régime pour rester en forme
regimedj;Numérique;onsp;A déjà suivi un régime pour perdre du poids
regimem;Numérique;b22f;Suivi d'un régime alimentaire
region;Numérique;region;Région (21 modalités)
regmaig;Numérique;onsp;Suit un régime pour maigrir
regmedic;Numérique;onsp;Suit un régime pour raisons médicales (autres que poids)
regrelig;Numérique;onsp;Suit un régime par conviction personnelle ou religieuse
regstab;Numérique;onsp;Suit un régime pour ne pas prendre de poids
regvegr;Numérique;onsp;Suit un régime car végétarien
regvegt;Numérique;onsp;Suit un régime car végétalien
rotboeufcuis;Numérique;cuiviand;Degré de cuisson rôti de boeuf
saison;Numérique;saisonf;Saison de l'enquête
sauccru;Numérique;consocru;Consomme des saucisses en sachet crues
sauccuis;Numérique;cuiviand;Degré de cuisson saucisses de porc
sed;Numérique;;Temps moyen quotidien devant ORDI ou TELE (en mn)
selassent;Numérique;sel;Ajout de sel ds assiette pour entrées
selassfec;Numérique;sel;Ajout de sel ds assiette pour PDT, pâtes, riz ou légumes secs
selassleg;Numérique;sel;Ajout de sel ds assiette pour légumes verts (frais, conserve, surgelés)
selassoeuf;Numérique;sel;Ajout de sel ds assiette pour oeufs (omelette, oeuf sur le plat ...)
selassvp;Numérique;sel;Ajout de sel ds assiette pour viandes ou poissons
selassvps;Numérique;;Ajout de sel ds assiette pour viandes ou poissons en sauce, plats comp. maison
self;Numérique;onsp;La cantine de l école est un self-service
sexe_ps;Numérique;sexe;Sexe de la personne sélectionnée
sexeps;Numérique;sexe;Sexe de la personne sélectionné
shboeufcuis;Numérique;cuiviand;Degré de cuisson steak haché de boeuf
situ_mat;Numérique;matrim;Interviewé - situation matrimoniale actuelle
situ_prof;Numérique;situprof;Interviewé - situation professionnelle actuelle
sousest1;Numérique;;Sous-estim (=1) avec eq Black
sousest3;Numérique;;Sous-estim (=1) 3-15ans base sur log ec - 3 sd
stat_empl;Numérique;statemp;Interviewé - type de cet emploi salarié, pdg
statnut;Numérique;statnutf;Statut nutritionnel (0=normal/1=en surpoids/2=obèse)
suc_boischoc;Numérique;typsuc;Type de sucre ajouté dans les boissons chocolatées
suc_cafe;Numérique;typsuc;Type de sucre ajouté dans le café
suc_froblanc;Numérique;typsuc;Type de sucre ajouté dans le fromage blanc
suc_suisse;Numérique;typsuc;Type de sucre ajouté dans les petits suisses
suc_the;Numérique;typsuc;Type de sucre ajouté dans le thé
suc_yao;Numérique;typsuc;Type de sucre ajouté dans les yaourts nature
tage;Numérique;age;Classe d'âge de la personne sélectionnée
taille;Numérique;;Taille en cm utilisée pour bmr
tele;Numérique;;Temps moyen quoditien devant TELE (en mn)
ths;Numérique;onsp;Prend actuellement un traitement hormonal substitutif ?
total_nbj;Numérique;;Nombre de jours d'activité physique TOTALE/semaine
trav_nuit;Numérique;travnuit;Interviewé - travailler la nuit
typ_empl;Numérique;typempla;Interviewé - type de cet emploi CDD, CDI
typelait;Numérique;typlait;Type de lait généralement consommé
up;Numérique;;Numéro d'UP (unité primaire)
up2;Numérique;;numéro d'unité primaire avec séparation Paris/Banlieu
v2_age;Numérique;;Age de la personnes sélectionnée
v2_nbenf;Numérique;;Interviewé - nb enfants vivants
vacances;Numérique;onsp;Interviewé - parti en vacances au cours des 12 derniers mois
veaucuis;Numérique;cuiviand;Degré de cuisson veau (escalope, côte, rôti)
voeupoids;Numérique;voeupoid;Souhaite peser
volcru;Numérique;consocru;Consomme de la viande de volaille crue
volcuis;Numérique;cuiviand;Degré de cuisson volaille (escalope, découpe)
zeat;Numérique;zeat;Région ZEAT
aet;Float;;Energie calorique totale table table CIQUAL avec polyols et acides orga. (kcal/j)
ech;Float;;Echantillon (adultes/enfants)
nomen;Float;;Numéro d'individu
nutj10;Float;;Acides gras saturés (en g/j)
nutj11;Float;;Amidon (en g/j)
nutj12;Float;;Glucides simples (en g/j)
nutj13;Float;;Fibres (en g/j)
nutj14;Float;;Cholestérol (en mg/j)
nutj15;Float;;Eau (en g/j)
nutj16;Float;;Calcium (en mg/j)
nutj17;Float;;Fer (en mg/j)
nutj18;Float;;Sodium (en mg/j)
nutj19;Float;;Magnésium (en mg/j)
nutj20;Float;;Manganèse (en mg/j)
nutj21;Float;;Phosphore (en mg/j)
nutj22;Float;;Potassium (en mg/j)
nutj23;Float;;Cuivre (en mg/j)
nutj24;Float;;Zinc (en mg/j)
nutj25;Float;;Sélénium (en μg/j)
nutj26;Float;;Iode (en μg/j)
nutj27;Float;;Rétinol (en μg/j)
nutj28;Float;;Béta-carotène (en μg/j)
nutj30;Float;;Vitamine C (en mg/j)
nutj31;Float;;Vitamine D (en μg/j)
nutj32;Float;;Vitamine E (en mg/j)
nutj33;Float;;Vitamine B1 ou thiamine (en mg/j)
nutj34;Float;;Vitamine B2 ou riboflavine (en mg/j)
nutj35;Float;;Vitamine B3 ou niacine (en mg/j)
nutj36;Float;;Vitamine B5 ou acide pantothénique (en mg/j)
nutj37;Float;;Vitamine B6 ou pyridoxine (en mg/j)
nutj38;Float;;Vitamine B9 ou folates (en μg/j)
nutj39;Float;;Vitamine B12 ou colobamine (en μg/j)
nutj4;Float;;Protéines (en g/j)
nutj5;Float;;Glucides disponibles, y compris polyols (en g/j)
nutj6;Float;;Lipides (en g/j)
nutj7;Float;;Alcool (en g/j)
nutj8;Float;;Acides gras mono-insaturés (en g/j)
nutj9;Float;;Acides gras polyinsaturés (en g/j)
sexe_ps;Float;sexe;Sexe de la personne sélectionnée
v2_age;Float;;Age de la personne sélectionnée
avecqui;Numérique;avecqui;En compagnie de qui a été pris le repas ?
duree;Numérique;;Durée du repas (en min)
lieu;Numérique;lieu;Lieu du repas
nojour;Numérique;nojour;Numéro d'ordre du jour dans le carnet
nomen;Numérique;;Numéro d'individu
nomjour;Texte;;Nom du jour
temrep;Numérique;priserep;Témoin de prise du repas (repas pris=0)
tyrep;Numérique;norep;Type de repas
codgr;Numérique;;Code GROUPE de la nomenclature
libgr;Texte;;Libellé du groupe de la nomenclature INCA 2
sougr;Numérique;;Code SOUS-GROUPE au sein du groupe d'aliment
libsougr;Texte;;Libellé du sous-groupe au sein du groupe d'aliments
codal;Numérique;;Code ALIMENT de la nomenclature INCA 2
libal;Texte;;Libellé de l'aliment de la nomenclature INCA 2
age_chefq;Numérique;;Age du chef de ménage
agglo5;Numérique;a5gglo;Catégorie d'agglomération (5 modalités)
agglo9;Numérique;a9gglo;Catégorie d'agglomération (9 modalités)
alimcru;Numérique;alimcru;Dans réfrigérateur place les aliments crus ...
autsyst;Texte;;Autre procédé de traitement eau
chef_atrav;Numérique;onref;Chef de famille - A déjà travaillé si sans emploi
chef_diplo;Numérique;diplomeb;Chef de famille - Diplôme le + élevé obtenu
chef_nbsal;Numérique;;Chef de famille - Nb de salariés employés si chef d'entreprise
chef_situprof;Numérique;situprof;Chef de famille - Situation professionnelle actuelle
chef_statempl;Numérique;statemp;Chef de famille - statut d'emploi (salarié, pdg ...)
chef_typempl;Numérique;typemplb;Chef de famille - type d'emploi (CDD, CDI ...)
chetiq;Numérique;onsp;Choix pdts alim. en fct des infos marquées sur l'emballage-étiquette
chfacil;Numérique;onsp;Choix pdts alim. en fct de la facilité de préparation
chgout;Numérique;onsp;Choix pdts alim. en fct du goût
chhabit;Numérique;onsp;Choix pdts alim. en fct d'une habitude
chlabel;Numérique;onsp;Choix pdts alim. en fct des signes de qualité (labels, AOC, agri. bio)
chmarq;Numérique;onsp;Choix pdts alim. en fct de la marque
chnouv;Numérique;onsp;Choix pdts alim. en fct du fait que le produit soit nouveau
chnut;Numérique;onsp;Choix pdts alim. en fct de la composition nutritionnelle
chori;Numérique;onsp;Choix pdts alim. en fct de l'origine ou provenance
chpres;Numérique;onsp;Choix pdts alim. en fct de l'apparence et la présentation
chprix;Numérique;onsp;Choix pdts alim. en fct du prix
chprod;Numérique;onsp;Choix pdts alim. en fct du mode de production
chpub;Numérique;onsp;Choix pdts alim. en fct de la publicité
chsani;Numérique;onsp;Choix pdts alim. en fct d'un marquage de contrôle sanitaire
claim;Numérique;claim;Si 2 produits identiques, dont 1 revendique intérêt nutritionnel, quel choix
congelo;Numérique;onref;Foyer équipé d un congélateur
consopc;Numérique;platcuis;Finit de consommer un plat cuisiné sans le congeler ...
cspc;Numérique;pcs;PCS CHEF FAMILLE
csvcharc;Numérique;nonembal;Temps maxi de conservation après achat d'autres charcuteries à la coupe
csventrf;Numérique;nonembal;Temps maxi de conservation après achat d'entrées froides-traiteur
csvfromc;Numérique;nonembal;Temps maxi de conservation après achat de fromage à la coupe
csvjamb;Numérique;nonembal;Temps maxi de conservation après achat de jambon à la coupe
csvpc;Numérique;nonembal;Temps maxi de conservation après achat de plats cuisinés
csvvian;Numérique;nonembal;Temps maxi de conservation après achat de viande
dlccrem;Numérique;dlc;Généralement, consomme les crèmes dessert au plus tard...
dlcfrom;Numérique;dlc;Généralement, consomme le fromage emballé au plus tard ...
dlcjamb;Numérique;dlc;Généralement, consomme le jambon sous plastique au plus tard...
dlclaif;Numérique;dlc;Généralement, consomme le lait frais au plus tard...
dlcoeuf;Numérique;dlc;Généralement, consomme les oeufs au plus tard...
dlcpcsv;Numérique;dlc;Généralement, consomme les plats cuisinés sous vide au plus tard...
dlcpl;Numérique;dlc;Généralement, consomme les plats cuisinés au plus tard...
dlcsaum;Numérique;dlc;Généralement, consomme le saumon fumé sous plastique au plus tard ...
dlcvian;Numérique;dlc;Généralement, consomme la viande pré-emballée au plus tard...
dlcyao;Numérique;dlc;Généralement, consomme les yaourts au plus tard ...
ech;Numérique;echant;Echantillon (adultes/enfants)
entrindi;Numérique;onsp;Entretien par vous-meme
